Em0tion,Word,Num
good,别有风味,1
good,均匀,1
good,朋友,1
good,好吃,1
disgust,复杂,1
good,喜欢,1
disgust,无中生有,1
good,师傅,1
good,一定,1
good,均匀,1
good,好吃,1
good,重要,1
sad,后悔,1
good,详细,2
disgust,多余,2
good,一定,1
disgust,废话,1
good,新鲜,1
good,均匀,1
happy,舒服,1
happy,轻松,1
good,干净,1
good,不错,2
good,好吃,4
happy,快乐,1
disgust,多余,2
disgust,油腻,1
anger,爆发,1
good,一定,1
good,确实,1
good,均匀,3
good,最好,1
good,好吃,1
good,入味,2
good,窍门,1
good,恰到好处,1
good,好吃,1
happy,起来,1
disgust,失败,1
good,喜欢,1
happy,乐观,1
disgust,捧场,1
good,一定,2
good,确实,3
good,讲究,1
good,均匀,1
good,值得,1
disgust,多此一举,1
happy,摆脱,1
good,好吃,1
good,肯定,1
disgust,复杂,1
good,相信,1
disgust,大胆,1
good,入味,1
disgust,杂质,1
disgust,麻烦,1
good,一定,1
good,快速,1
good,确实,1
good,美味,1
good,讲究,1
good,干净,1
good,完美,1
happy,红红火火,1
happy,起来,1
disgust,蛋白质,1
good,必须,1
good,入味,1
good,一定,1
good,美味,1
good,均匀,1
good,朋友,1
good,不错,1
good,好吃,3
fear,不利,1
good,完美,1
good,相信,1
good,喜好,1
happy,起来,1
good,细腻,1
good,喜欢,4
good,必须,1
good,一定,2
good,均匀,1
good,功劳,1
good,好吃,4
good,拿手,1
surprise,惊异,1
happy,起来,1
good,鸿运,1
good,入味,1
good,师傅,1
disgust,难吃,1
good,一定,1
fear,不好意思,2
good,干净,1
good,好吃,2
happy,起来,1
good,详细,1
good,喜欢,1
good,必须,1
good,入味,1
good,师傅,1
good,一定,1
disgust,大杂烩,2
good,干净,1
good,不愧,1
good,浓郁,1
disgust,不了,2
good,一定,1
good,均匀,1
good,经典,1
good,干净,1
good,重要,1
happy,起来,1
good,一定,2
disgust,烦躁,1
disgust,没意思,1
good,干净,3
good,不错,1
good,好吃,1
good,无比,1
good,鲜美,1
happy,起来,3
good,勤快,1
sad,不行,1
good,清香,1
disgust,异味,1
good,一定,1
good,一级,1
good,葱白,1
good,肯定,1
good,实在,1
good,拿手,1
disgust,偷懒,1
good,一定,2
happy,嘻嘻,1
good,均匀,3
good,最好,1
good,好吃,2
good,红心,1
good,实在,1
good,重要,2
happy,起来,1
disgust,拆台,1
good,饱满,2
good,必须,1
good,师傅,2
disgust,废话,1
good,精彩,1
good,讲究,1
good,结实,2
good,均匀,2
disgust,小看,1
good,有头有尾,1
good,其实,1
good,好吃,1
good,肯定,1
disgust,偷偷,1
happy,起来,1
good,入味,1
good,师傅,1
good,表扬,1
good,一定,4
disgust,搅和,1
disgust,不好,1
good,少不了,1
good,主角,1
good,均匀,3
good,干净,2
good,好吃,1
happy,红红火火,2
good,必须,1
good,师傅,1
good,一定,1
good,快速,1
disgust,忽悠,1
good,鉴定,1
good,朋友,1
good,干净,1
happy,享受,1
good,好吃,1
disgust,不够,1
good,满意,2
happy,起来,1
good,必须,1
good,一定,1
happy,惊喜,1
good,干脆,1
good,干脆,1,happy,干脆,1
good,均匀,1
anger,变色,1
good,好吃,1
good,无比,1
good,鲜美,1
happy,起来,1
good,神仙,1
good,入味,1
good,师傅,1
good,俱佳,1
good,均匀,1
disgust,颠覆,1
good,好吃,4
happy,红红火火,3
good,入味,1
good,师傅,1
disgust,借口,1
good,一定,3
good,美味,1
good,新鲜,1
good,均匀,1
happy,大吉,1
good,节节,1
happy,拜年,4
good,帮助,1
good,贵宾,1
good,好吃,1
good,实在,1
disgust,复杂,3
good,重要,1
happy,起来,1
good,奖励,1
good,好听,1
disgust,多余,1
good,兴致,1
good,金榜题名,1
good,一定,1
good,少不了,1
happy,平平,1
good,均匀,1
good,好吃,1
good,肯定,2
good,不愧,1
good,详细,1
good,认真,1
good,稀饭,1
good,喜欢,1
good,神仙,1
good,一定,1
disgust,不好,1
good,均匀,1
happy,舒服,1
happy,快乐,1
happy,起来,2
good,财运,1
anger,上火,1
good,师傅,1
good,一定,2
good,具体,1
good,干净,2
happy,开胃,1
good,其实,1
fear,厉害,1
happy,起来,1
good,认真,1
good,师父,1
good,一定,2
happy,开胃,2
good,完美,1
good,相信,1
surprise,不得了,1
disgust,大胆,1
good,爽口,1
good,真正,1
good,一定,1
happy,拜年,1
good,好吃,3
good,大方,1
good,乖乖,2
happy,红包,1
good,鲜美,1
good,入味,2
good,师傅,1
good,实在,1
happy,起来,1
good,爽口,1
good,一定,1
good,具体,1
good,好吃,1
anger,揉搓,1
good,秀雅,1
good,相信,2
happy,起来,4
good,博大精深,1
good,一定,1
good,先进,1
good,均匀,2
good,脆爽,2
good,不错,2
good,帮助,1
good,完美,2
good,见解,1
good,入味,1
good,真正,1
happy,舒服,1
good,干净,3
good,好吃,1
disgust,无味,1
good,实在,1
anger,揉搓,3
good,清新,3
good,鲜美,2
happy,起来,3
disgust,多余,1
happy,放心,2
good,讲究,1
good,均匀,2
happy,轻松,1
good,干净,2
good,脆爽,1
good,好吃,2
good,帮助,1
good,完美,1
disgust,复杂,1
good,相信,1
disgust,黄色,1
good,清爽,1
good,清爽,1,happy,清爽,1
good,喜欢,1
good,一定,2
good,快速,1
disgust,买好,1
good,均匀,1
happy,持家,1
happy,清明,1
happy,起来,1
good,入味,1
good,翠绿,1
good,一定,1
good,鲜嫩,2
good,完美,1
good,认真,1
good,入味,1
good,干净,1
good,好吃,3
good,实在,1
good,相信,1
happy,起来,2
good,独特,1
good,详细,1
disgust,下水,1
happy,放心,1
disgust,异味,1
good,一定,1
good,光滑,1
good,新鲜,1
disgust,包子,1
good,好吃,2
good,实在,2
good,重要,1
happy,起来,1
disgust,随便,2
good,稀饭,1
good,均匀,3
good,重要,1
happy,起来,1
good,详细,1
good,认真,2
good,一定,1
disgust,不好,1
good,均匀,3
good,干净,1
good,好吃,2
anger,揉搓,1
happy,起来,1
disgust,黄色,1
good,认真,1
disgust,多余,1
good,鲜红,1
good,一定,1
good,均匀,2
good,干净,1
good,好吃,2
good,重要,1
good,无比,1
good,详细,1
good,认真,1
happy,放心,1
good,神仙,1
good,师傅,1
good,划一,1
good,一定,1
good,均匀,4
